40014;CAFE PLANTA DE CAFE MOLIDO 250 Grs;Alimentos;Cafe;Molido;280600281174;278873768022;278873866326;;;
40015;CAFE PLANTA DE CAFE MOLIDO 500 Grs;Alimentos;Cafe;Molido;280600281174;278873768022;278873866326;;;
40016;CAFE SUPER CABRALES MOLIDO 125 Grs;Alimentos;Cafe;Molido;280600281174;278873768022;278873866326;;;
40944;CAFE SUPER CABRALES MOLIDO 250 Grs;Alimentos;Cafe;Molido;280600281174;278873768022;278873866326;;;
10600;CAFE BONAFIDE SAQUITOS 20 Un.;Alimentos;Cafe;Saquitos;280600281174;278873768022;278875373654;;;
30071;CAFE CRYSF Saquitos 20 Un.;Alimentos;Cafe;Saquitos;280600281174;278873768022;278875373654;;;
40945;CAFE PLANTA DE CAFE Saquitos 18 Un.;Alimentos;Cafe;Variedades;280600281174;278873768022;278873899094;;;
110328;CAPSULA DCE GUSTO CAPPUCCINO 200 Grs;Alimentos;Cafe;Variedades;280600281174;278873768022;278873899094;;;
110329;CAPSULA DCE GUSTO LUNGO 112 Grs;Alimentos;Cafe;Variedades;280600281174;278873768022;278873899094;;;
110330;CAPSULA DCE GUSTO EXPRESSO 96 Grs;Alimentos;Cafe;Variedades;280600281174;278873768022;278873899094;;;
110333;CAPSULA DCE GUSTO CORTADO 100 Grs;Alimentos;Cafe;Variedades;280600281174;278873768022;278873899094;;;
110334;CAPSULA DCE GUSTO CAFE/LECHE 160 Grs;Alimentos;Cafe;Variedades;280600281174;278873768022;278873899094;;;
110410;CAFE DOLCA CHOCO 125 Grs;Alimentos;Cafe;Variedades;280600281174;278873768022;278873899094;;;
110444;CAFE DOLCA CORTADO 125 Grs;Alimentos;Cafe;Variedades;280600281174;278873768022;278873899094;;;
110447;CAFE DOLCA C/LATTE 125 Grs;Alimentos;Cafe;Variedades;280600281174;278873768022;278873899094;;;
110448;CAFE DOLCA CAPUCCINO 125 Grs;Alimentos;Cafe;Variedades;280600281174;278873768022;278873899094;;;
140479;CAFE MACCHIATO CAPSULA NERO 10 Un.;Alimentos;Cafe;Variedades;280600281174;278873768022;278873899094;;;
140480;CAFE MACCHIATO CAPSULA TRADICIONAL 10 Un.;Alimentos;Cafe;Variedades;280600281174;278873768022;278873899094;;;
140481;CAFE MACCHIATO CAPSULA DESCAF 10 Un.;Alimentos;Cafe;Variedades;280600281174;278873768022;278873899094;;;
140482;CAFE MACCHIATO CAPSULA LUNGO 10 Un.;Alimentos;Cafe;Variedades;280600281174;278873768022;278873899094;;;
140295;CALDO KNORR GALLINA 2 Un.;Alimentos;Caldos;Gallina;278872457302;278873997398;278874030166;;;
140296;CALDO KNORR GALLINA 6 Un.;Alimentos;Caldos;Gallina;278872457302;278873997398;278874030166;;;
140293;CALDO KNORR VERDURA 2 Un.;Alimentos;Caldos;Verdura;278872457302;278873997398;278874062934;;;
140294;CALDO KNORR VERDURA 6 Un.;Alimentos;Caldos;Verdura;278872457302;278873997398;278874062934;;;
41001;AVENA MORIXE Tradicional 400 Grs;Alimentos;Cereales;Avena;280600281174;278874095702;278874128470;;;
41002;AVENA MORIXE Instantanea 400 Grs;Alimentos;Cereales;Avena;280600281174;278874095702;278874128470;;;
200002;AVENA QUAKER TRADICIONAL 280 Grs;Alimentos;Cereales;Avena;280600281174;278874095702;278874128470;;;
200005;AVENA QUAKER TRADICIONAL 550 Grs;Alimentos;Cereales;Avena;280600281174;278874095702;278874128470;;;
200007;AVENA QUAKER EXTRA FINA 470 Grs;Alimentos;Cereales;Avena;280600281174;278874095702;278874128470;;;
200009;AVENA QUAKER INSTANTANEA 280 Grs;Alimentos;Cereales;Avena;280600281174;278874095702;278874128470;;;
41435;BOCADITOS GRANIX RELLENO FRUTILLA 180 Grs;Alimentos;Cereales;Cereales;280600281174;278874095702;278874161238;;;
41437;NATURITOS GRANIX FRUTOS ROJOS 90 Grs;Alimentos;Cereales;Cereales;280600281174;278874095702;278874161238;;;
